Soru_No,Soru_Metni,A_Seçeneği,B_Seçeneği,C_Seçeneği,D_Seçeneği,E_Seçeneği,Tema_Adi,Ogrenme_Ciktisi,Ogrenme_Baglantisi,Dogru_Cevap
11,Dijital kimlik bilgileri nerede kullanılmaz? ,E-posta,Sosyal medya ,E-devlet,Online bankacılık ,Fiziksel mağaza alışverişi ,Bilgisayar Ağları, Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,E
12,Dijital ayak izi ne zaman tehlikeli olabilir? ,Güvenli sitelerde gezinirken,Kişisel bilgiler paylaşıldığında ,Bilgisayar kapalıyken ,Şifre unutulduğunda ,Telefonun ekranı kırıldığında,Bilgisayar Yazılımı,Dijital Ayak İzi,Dijital ayak izinin etkilerini bilişim teknolojilerinin kullanım alanları ile ilişkilendirir.,B
13,Dijital vatandaşlık uygulamaları bireye ne sağlar? ,Daha fazla oyun süresi,Daha çok sosyal medya beğenisi ,Bilinçli ve güvenli dijital ortam kullanımı ,Daha fazla reklam,El yazısı yazma,Dijital Okuryazarlık,Daha çok takipçi,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,C
14,Dijital kimlik bilgileri neden gizli tutulmalıdır? ,Daha çok arkadaş edinmek için,Daha çok reklam almak için,Bilgisayar hızını artırmak için ,Kimlik hırsızlığını önlemek için,Telefonun ekranını korumak için,Dijital Kimlik,Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,D
15,Dijital ayak izi hangi durumda oluşmaz? ,Hiçbir dijital işlem yapılmadığında,Sosyal medya paylaşımı ,E-posta gönderimi ,Online alışveriş ,Video izleme,Dijital Ayak İzi,Dijital ayak izinin etkilerini bilişim teknolojilerinin kullanım alanları ile ilişkilendirir.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,A
16,Dijital vatandaşlık uygulamaları aşağıdakilerden hangisiyle ilişkilidir? ,Fiziksel spor aktiviteleri ,El yazısı ile mektup yazmak,Bahçede çalışmak,Kitap okuma,Online eğitim platformları ,Dijital Vatandaşlık,Dijital vatandaşlık uygulamalarını kullanım alanlarına göre gruplandırır.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,E
17,Dijital kimlik bilgileri nasıl korunur? ,Güçlü ve farklı şifrelerle ,Herkese açık profillerle ,Aynı şifreyi her yerde kullanarak,Şifreyi not defterine yazarak ,Şifreyi sosyal medyada paylaşarak,Dijital Kimlik, Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,A
18,Dijital ayak izi ile ilgili hangisi yanlıştır? ,Sosyal medya paylaşımlarıyla oluşabilir,Reklam şirketleri tarafından kullanılabilir ,İnternette iz bırakır ,Sadece devlet tarafından silinebilir ,Kişisel bilgileri içerebilir ,Dijital Ayak İzi,Dijital ayak izinin etkilerini bilişim teknolojilerinin kullanım alanları ile ilişkilendirir.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,D
19,Dijital vatandaşlık uygulamaları neden sınıflandırılır? ,Kullanım alanlarını daha iyi anlamak için,Daha fazla reklam için,Daha çok oyun için,Sosyal medya beğenisi için,Takipçi artırmak için,Dijital Vatandaşlık,Dijital vatandaşlık uygulamalarını kullanım alanlarına göre gruplandırır,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,A
20,Hangisi bir robotik sensör değildir?,Telefonun ekranı büyür,Bilgisayar hızlanır ,Daha çok arkadaş edinilir ,Daha çok reklam alınır,Kimlik hırsızlığı riski oluşur ,Dijital Kimlik, Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,E
